#wave           Flux
3580.804332031227 6.941256444265152e-14
3582.0151003465357 7.206968361040231e-14
3583.225868661844 7.479942854683997e-14
3584.436636977152 8.014392136800258e-14
3585.64740529246 8.199576507087831e-14
3586.8581736077685 8.196270555629924e-14
3588.0689419230766 8.131803612019963e-14
3589.2797102383847 7.840642080251771e-14
3590.4904785536933 7.535712959672482e-14
3591.7012468690014 6.832644478204286e-14
3592.9120151843094 7.219878930079882e-14
3594.1227834996175 7.541432287060798e-14
3595.333551814926 7.769534597897066e-14
3596.544320130234 8.056742097940662e-14
3597.7550884455427 8.595121840955173e-14
3598.965856760851 8.845085120475782e-14
3600.176625076159 8.805288173936114e-14
3601.387393391467 8.763617214867217e-14
3602.5981617067755 8.668592335095239e-14
3603.8089300220836 8.293514363154955e-14
3605.0196983373917 8.240290049293597e-14
3606.2304666527 8.462919635318889e-14
3607.4412349680083 8.472726790531847e-14
3608.6520032833164 9.087402241897052e-14
3609.8627715986245 9.571982804270973e-14
3611.073539913933 1.0035278270805217e-13
3612.284308229241 1.0631247836971183e-13
3613.495076544549 1.1118872675004748e-13
3614.7058448598577 1.1119023563690267e-13
3615.916613175166 1.0257683223404452e-13
3617.127381490474 9.290747590265747e-14
3618.3381498057825 9.040588442205664e-14
3619.5489181210905 9.415440452780031e-14
3620.7596864363986 9.885445550918396e-14
3621.970454751707 1.0394052403455681e-13
3623.1812230670153 1.114509906204323e-13
3624.391991382323 1.2141060738559125e-13
3625.602759697631 1.2527923034817798e-13
3626.8135280129395 1.2297664545451943e-13
3628.0242963282476 1.143531925496534e-13
3629.2350646435557 1.0423262642949354e-13
3630.4458329588642 1.001072598060055e-13
3631.6566012741723 9.634058088441962e-14
3632.8673695894804 9.37620441202245e-14
3634.078137904789 9.693626386028597e-14
3635.288906220097 1.0230912526857044e-13
3636.499674535405 1.1256787427404331e-13
3637.7104428507137 1.1922282374845282e-13
3638.9212111660217 1.2059102365047846e-13
3640.13197948133 1.1916022429215947e-13
3641.342747796638 1.1904173280804894e-13
3642.5535161119465 1.182674628929234e-13
3643.7642844272546 1.2074237847817834e-13
3644.9750527425626 1.2022768950625767e-13
3646.185821057871 1.1713517410199446e-13
3647.3965893731793 1.162837724644107e-13
3648.6073576884874 1.205854571663014e-13
3649.818126003796 1.236800602460744e-13
3651.028894319104 1.2587848007775592e-13
3652.239662634412 1.265046847029798e-13
3653.4504309497206 1.3164652132227882e-13
3654.6611992650287 1.3491900499358874e-13
3655.871967580337 1.3504093288870672e-13
3657.082735895645 1.355203016255777e-13
3658.2935042109534 1.3574540162092453e-13
3659.5042725262615 1.364533054240864e-13
3660.7150408415696 1.3525741543061114e-13
3661.925809156878 1.3552313657515397e-13
3663.136577472186 1.368527168868248e-13
3664.3473457874943 1.3785057564726276e-13
3665.558114102803 1.3305555429039247e-13
3666.768882418111 1.2474372928160111e-13
3667.979650733419 1.2068580718681538e-13
3669.1904190487276 1.1968859479324857e-13
3670.4011873640356 1.2207772200144763e-13
3671.6119556793437 1.2266850348632275e-13
3672.822723994652 1.1923520284395518e-13
3674.0334923099604 1.193529375262643e-13
3675.2442606252685 1.1872610871941228e-13
3676.4550289405765 1.1765119469753735e-13
3677.665797255885 1.164094853008175e-13
3678.8765655711927 1.1913373072825305e-13
3680.087333886501 1.195371314086967e-13
3681.2981022018093 1.1939852786249032e-13
3682.5088705171174 1.186027546166123e-13
3683.7196388324255 1.1637906676845726e-13
3684.930407147734 1.1396697118252738e-13
3686.141175463042 1.1456716730545073e-13
3687.3519437783502 1.1824295799303454e-13
3688.5627120936583 1.2085812875884053e-13
3689.773480408967 1.1864521790110354e-13
3690.984248724275 1.1237958680057242e-13
3692.195017039583 1.0766927048814081e-13
3693.4057853548916 1.0874110660163285e-13
3694.6165536701997 1.1378499767316e-13
3695.8273219855078 1.2027906083316514e-13
3697.038090300816 1.310586973814957e-13
3698.2488586161244 1.3510707014483527e-13
3699.4596269314325 1.3589569454755066e-13
3700.670395246741 1.313334187752732e-13
3701.881163562049 1.1895878283953734e-13
3703.091931877357 1.0559891853683519e-13
3704.3027001926653 9.908679908473041e-14
3705.513468507974 9.301914690267995e-14
3706.724236823282 8.879130650820048e-14
3707.93500513859 9.203415607408671e-14
3709.1457734538985 1.0413974498701955e-13
3710.3565417692066 1.1623257150184084e-13
3711.5673100845147 1.2270724815452435e-13
3712.778078399823 1.2431577413871028e-13
3713.9888467151313 1.206184702333719e-13
3715.1996150304394 1.1117991080607134e-13
3716.410383345748 9.906499437835284e-14
3717.621151661056 8.568550183269611e-14
3718.831919976364 7.798850246118308e-14
3720.042688291672 7.632812913374426e-14
3721.2534566069808 8.211253189916617e-14
3722.464224922289 8.928000504972688e-14
3723.674993237597 9.551055417417029e-14
3724.8857615529055 9.562330082362339e-14
3726.0965298682136 9.812339381144672e-14
3727.3072981835217 1.0060838484056048e-13
3728.5180664988297 9.924219618398979e-14
3729.7288348141383 9.308858237955781e-14
3730.9396031294464 8.359672843992688e-14
3732.150371444755 7.590446979422536e-14
3733.3611397600625 7.169182653921611e-14
3734.5719080753706 7.094446895920781e-14
3735.7826763906787 7.749859788418156e-14
3736.9934447059873 8.967697587120024e-14
3738.2042130212953 1.0208456479695009e-13
3739.4149813366034 1.0939634068547193e-13
3740.625749651912 1.1196639692794763e-13
3741.83651796722 1.0932264833377391e-13
3743.047286282528 1.0386926281170519e-13
3744.2580545978362 9.725870352906347e-14
3745.468822913145 9.179868130065266e-14
3746.679591228453 9.06024314555728e-14
3747.890359543761 9.637508075583018e-14
3749.1011278590695 1.0714029087537448e-13
3750.3118961743776 1.1346754300738938e-13
3751.5226644896857 1.2009537270448362e-13
3752.733432804994 1.2796301637463015e-13
3753.9442011203023 1.311510000898661e-13
3755.1549694356104 1.2843091090902834e-13
3756.365737750919 1.2569095456028984e-13
3757.576506066227 1.2866308126024203e-13
3758.787274381535 1.3448940561729135e-13
3759.998042696843 1.381653949155786e-13
3761.2088110121517 1.365348752455932e-13
3762.41957932746 1.3559599643256185e-13
3763.630347642768 1.3627263138684994e-13
3764.8411159580764 1.3794995772005634e-13
3766.0518842733845 1.4370342478488845e-13
3767.2626525886926 1.5255165913069878e-13
3768.473420904001 1.6180228465063856e-13
3769.6841892193092 1.641312102736586e-13
3770.8949575346173 1.6430091748768542e-13
3772.105725849926 1.5698976932588163e-13
3773.316494165234 1.4707964072006027e-13
3774.527262480542 1.4090187860832438e-13
3775.73803079585 1.3880819948374078e-13
3776.9487991111587 1.4298597329052532e-13
3778.1595674264668 1.4702265829597663e-13
3779.370335741775 1.4964606681524308e-13
3780.5811040570834 1.500832991223519e-13
3781.7918723723915 1.5051971188597757e-13
3783.0026406876996 1.4600490250024363e-13
3784.213409003008 1.338479715999665e-13
3785.424177318316 1.2385211207558673e-13
3786.6349456336243 1.2250544892100976e-13
