157.69	11.78
158.29	12.89
158.89	13.98
159.49	14.10
160.08	14.26
160.68	13.85
161.28	12.29
161.88	13.21
162.47	13.17
163.07	13.32
163.67	13.67
164.27	12.71
164.86	13.44
165.46	13.25
166.06	12.57
166.66	14.30
167.25	14.46
167.85	14.71
168.45	13.09
169.04	13.91
169.64	14.65
170.24	13.21
170.84	13.65
171.43	13.65
172.03	13.39
172.63	13.52
173.22	14.72
173.82	13.88
174.42	14.07
175.02	14.07
175.61	14.07
176.21	14.64
176.81	12.34
177.40	14.12
178.00	14.40
178.60	13.93
179.19	12.90
179.79	14.90
180.39	11.86
180.98	11.97
181.58	13.83
182.18	13.39
182.77	13.37
183.37	13.15
183.97	14.67
184.56	13.97
185.16	13.45
185.76	14.02
186.35	13.32
186.95	13.81
187.55	13.03
188.14	12.35
188.74	14.45
189.34	15.16
189.93	13.07
190.53	12.08
191.12	13.53
191.72	13.24
192.32	16.13
192.91	14.88
193.51	14.82
194.11	14.58
194.70	14.15
195.30	14.48
195.89	14.60
196.49	14.05
197.09	14.39
197.68	13.93
198.28	15.11
198.87	14.87
199.47	15.00
200.06	14.00
200.66	13.25
201.26	14.76
201.85	15.95
202.45	15.13
203.04	14.89
203.64	14.83
204.24	15.59
204.83	13.79
205.43	15.61
206.02	14.87
206.62	13.52
207.21	14.86
207.81	15.00
208.40	15.46
209.00	15.32
209.60	13.86
210.19	14.78
210.79	16.02
211.38	16.82
211.98	15.88
212.57	13.56
213.17	15.56
213.76	15.79
214.36	15.21
214.95	14.65
215.55	15.14
216.14	16.48
216.74	16.00
217.33	14.22
217.93	15.47
218.52	15.05
219.12	13.70
219.71	14.78
220.31	15.39
220.90	14.82
221.50	15.19
222.09	14.59
222.69	14.79
223.28	14.21
223.88	13.80
224.47	12.89
225.07	12.88
225.66	13.32
226.26	11.58
226.85	12.22
227.45	10.15
228.04	9.78
228.63	10.31
229.23	9.09
229.82	8.12
230.42	7.84
231.01	7.44
231.61	6.59
232.20	5.69
232.80	5.67
233.39	5.06
233.98	4.15
234.58	4.00
235.17	3.57
235.77	3.37
236.36	2.99
236.95	2.87
237.55	2.61
238.14	2.30
238.74	2.03
239.33	2.00
239.93	1.96
240.52	1.82
241.11	1.67
241.71	1.59
242.30	1.46
242.89	1.44
243.49	1.24
244.08	1.27
244.68	0.99
245.27	1.16
245.86	1.01
246.46	1.03
247.05	0.96
247.64	0.95
248.24	0.89
248.83	0.91
249.43	0.90
250.02	0.82
250.61	0.74
251.21	0.71
251.80	0.77
252.39	0.77
252.99	0.67
253.58	0.69
254.17	0.68
254.77	0.65
255.36	0.64
255.95	0.70
256.55	0.60
257.14	0.59
257.73	0.60
258.33	0.53
258.92	0.53
259.51	0.57
260.10	0.53
260.70	0.54
261.29	0.53
261.88	0.55
262.48	0.54
263.07	0.53
263.66	0.49
264.25	0.55
264.85	0.49
265.44	0.50
266.03	0.47
266.63	0.46
267.22	0.48
267.81	0.49
268.40	0.48
269.00	0.51
269.59	0.46
270.18	0.46
270.77	0.48
271.37	0.49
271.96	0.45
272.55	0.47
273.14	0.45
273.74	0.44
274.33	0.47
274.92	0.47
275.51	0.46
276.11	0.43
276.70	0.48
277.29	0.47
277.88	0.48
278.47	0.49
279.07	0.48
279.66	0.47
280.25	0.50
280.84	0.49
281.43	0.48
282.03	0.49
282.62	0.44
283.21	0.49
283.80	0.47
284.39	0.51
284.98	0.46
285.58	0.45
286.17	0.47
286.76	0.46
287.35	0.49
287.94	0.48
288.53	0.45
289.13	0.45
289.72	0.49
290.31	0.49
290.90	0.48
291.49	0.48
292.08	0.47
292.68	0.45
293.27	0.48
293.86	0.48
294.45	0.45
295.04	0.42
295.63	0.45
296.22	0.50
296.81	0.45
297.41	0.48
298.00	0.45
298.59	0.45
299.18	0.43
299.77	0.47
300.36	0.48
300.95	0.47
301.54	0.44
302.13	0.47
302.72	0.48
303.32	0.45
303.91	0.47
304.50	0.47
305.09	0.47
305.68	0.43
306.27	0.48
306.86	0.48
307.45	0.49
308.04	0.44
308.63	0.46
309.22	0.49
309.81	0.48
310.40	0.52
310.99	0.40
311.58	0.50
312.17	0.53
312.76	0.51
313.35	0.51
313.94	0.52
314.54	0.47
315.13	0.50
315.72	0.51
316.31	0.54
316.90	0.53
317.49	0.57
318.08	0.52
318.67	0.54
319.26	0.56
319.85	0.56
320.44	0.53
321.03	0.56
321.62	0.56
322.21	0.57
322.80	0.54
323.39	0.61
323.97	0.60
324.56	0.58
325.15	0.60
325.74	0.60
326.33	0.57
326.92	0.60
327.51	0.60
328.10	0.59
328.69	0.63
329.28	0.60
329.87	0.59
330.46	0.65
331.05	0.64
331.64	0.65
332.23	0.64
332.82	0.62
333.41	0.65
334.00	0.66
334.58	0.66
335.17	0.65
335.76	0.71
336.35	0.71
336.94	0.67
337.53	0.67
338.12	0.74
338.71	0.71
